Subject,age,sex,O,C,E,A,N,n_obs,n_futures
60713170938.0,21.0,female,5.0,6.5,5.5,6.0,4.5,9,3.0
60713171616.0,28.0,female,6.0,6.0,3.5,5.5,1.5,15,0.0
60713171630.0,25.0,female,6.0,5.0,3.5,3.5,2.0,3,1.0
60713172526.0,21.0,female,5.5,4.5,5.5,4.5,4.0,11,4.0
60713173136.0,33.0,female,4.5,6.0,3.5,5.5,4.0,8,3.0
60713174526.0,25.0,male,6.5,6.5,3.0,6.5,3.5,12,8.0
60713175024.0,35.0,female,6.0,3.5,3.0,5.0,4.0,10,3.0
60713180741.0,24.0,male,6.0,6.0,5.0,3.5,2.0,5,2.0
60713184020.0,38.0,female,4.5,6.0,2.0,5.5,2.5,15,3.0
60713184942.0,33.0,female,5.5,5.0,4.5,6.0,3.0,17,4.0
60713190247.0,47.0,female,7.0,6.5,6.0,7.0,1.0,11,9.0
60713195204.0,23.0,female,4.5,4.0,4.5,4.0,3.0,14,0.0
60713201056.0,37.0,female,2.5,3.0,6.5,4.5,4.0,11,4.0
60713202834.0,19.0,female,7.0,6.5,7.0,4.0,2.0,15,2.0
60713203319.0,27.0,female,4.5,3.5,4.0,6.5,2.0,15,6.0
60713204200.0,25.0,male,4.5,6.0,4.5,5.0,3.0,12,5.0
60713224017.0,18.0,female,6.5,7.0,3.5,6.0,3.5,15,8.0
60713230943.0,22.0,female,5.5,5.5,5.5,3.5,5.0,14,5.0
60713233416.0,47.0,female,7.0,5.0,3.5,6.0,1.5,12,4.0
60813073147.0,42.0,female,6.5,5.5,4.5,5.5,3.5,6,2.0
60813090352.0,24.0,female,5.5,5.0,4.0,5.0,3.0,15,2.0
60813100809.0,25.0,male,5.5,4.0,3.0,4.0,3.0,16,8.0
60813112740.0,24.0,female,4.0,5.0,3.5,2.0,3.0,17,9.0
60813115157.0,49.0,female,7.0,7.0,7.0,7.0,1.0,18,8.0
60813154152.0,22.0,male,5.5,6.5,4.0,5.5,2.0,14,7.0
60813185255.0,20.0,male,2.5,6.5,4.0,7.0,1.5,11,4.0
60813221846.0,21.0,female,5.5,7.0,6.0,5.0,2.0,18,5.0
60913073204.0,38.0,female,4.0,5.5,6.5,5.0,4.0,18,10.0
60913091326.0,19.0,male,5.5,4.0,6.0,4.0,5.5,17,8.0
60913091604.0,22.0,female,6.0,5.5,7.0,5.5,4.0,16,2.0
60913104107.0,23.0,male,6.5,5.0,1.5,5.0,5.0,17,4.0
60913131335.0,25.0,male,6.5,4.5,6.5,4.5,3.0,17,7.0
60913142820.0,22.0,female,5.0,5.5,2.5,6.5,3.0,18,0.0
60913150811.0,20.0,female,5.0,6.0,7.0,3.0,6.0,17,6.0
60913194301.0,20.0,female,6.5,4.5,6.5,1.5,6.5,6,3.0
60913220238.0,21.0,male,6.5,3.0,3.5,4.5,5.5,17,8.0
60913222121.0,33.0,female,6.5,6.5,6.0,4.5,2.5,16,2.0
61013002328.0,24.0,female,7.0,7.0,3.5,7.0,1.0,5,5.0
61013053116.0,24.0,female,6.0,5.0,3.5,5.5,5.5,18,6.0
61013060229.0,41.0,male,5.5,5.5,4.5,5.0,3.0,15,0.0
61013064008.0,32.0,female,6.0,2.0,1.0,4.0,2.0,15,10.0
61013065855.0,37.0,female,6.5,7.0,4.5,7.0,3.0,17,5.0
61013072140.0,33.0,female,4.5,5.5,5.5,6.5,1.0,16,3.0
61013072654.0,28.0,female,5.5,6.5,3.0,6.5,2.0,18,7.0
61013101948.0,21.0,female,5.0,5.5,5.5,6.5,3.0,10,8.0
61013104003.0,23.0,male,5.0,4.5,4.5,5.5,3.5,17,4.0
61013104209.0,22.0,female,5.5,6.0,2.5,6.5,3.5,17,3.0
61013114009.0,20.0,female,5.0,6.5,6.0,3.5,2.0,15,7.0
61013114054.0,22.0,female,6.5,5.5,2.5,6.0,5.5,17,5.0
61013121613.0,41.0,female,5.5,6.0,4.5,5.5,3.0,12,3.0
61013140038.0,39.0,female,7.0,7.0,5.5,4.5,4.0,17,7.0
61013150923.0,24.0,female,3.0,4.0,2.0,5.0,2.0,17,3.0
61013152159.0,22.0,female,7.0,6.5,4.5,6.0,1.5,17,7.0
61013152520.0,20.0,male,7.0,6.5,4.0,3.5,4.0,15,5.0
61013153153.0,26.0,female,5.0,6.0,3.0,6.0,4.0,14,3.0
61013160126.0,25.0,male,5.5,5.5,4.0,5.0,1.5,17,5.0
61013160318.0,28.0,male,6.0,3.5,4.0,5.0,2.0,16,4.0
61013172204.0,42.0,female,5.0,6.5,1.0,6.0,5.5,17,9.0
61013173022.0,25.0,female,5.0,6.0,4.5,6.0,1.5,2,2.0
61013175838.0,19.0,female,5.0,6.5,3.0,4.0,3.5,18,2.0
61013181400.0,30.0,female,5.5,6.0,5.5,7.0,2.5,16,5.0
61013184246.0,22.0,male,4.5,6.0,5.5,3.5,2.5,15,2.0
61013184704.0,25.0,female,6.0,7.0,5.5,4.5,1.5,6,1.0
61013185041.0,27.0,female,4.5,5.5,3.0,5.5,3.0,18,3.0
61013190829.0,29.0,female,5.0,4.5,5.0,6.0,3.0,18,1.0
61013194119.0,19.0,female,4.0,7.0,2.5,5.5,3.5,16,4.0
61013200405.0,31.0,female,6.0,7.0,4.0,4.0,7.0,12,4.0
61013210732.0,19.0,male,4.5,5.0,4.0,3.5,4.0,18,0.0
61013213424.0,19.0,male,4.0,4.5,6.0,2.5,2.0,6,1.0
61013215714.0,22.0,male,6.5,3.5,4.0,4.5,6.5,4,0.0
61013223609.0,38.0,male,4.0,6.5,3.5,5.5,2.0,18,7.0
61113011149.0,26.0,female,4.0,4.0,4.0,4.0,4.0,18,5.0
61113093118.0,29.0,male,7.0,4.5,4.0,4.0,6.0,14,6.0
61113174827.0,26.0,female,6.0,3.5,2.0,7.0,3.0,14,1.0
61113182919.0,25.0,male,5.0,5.5,2.5,3.5,5.0,8,1.0
61113191358.0,25.0,female,4.5,7.0,5.5,5.5,1.0,12,3.0
61113192537.0,27.0,female,4.0,4.0,4.5,3.5,4.5,11,1.0
61113213353.0,23.0,male,5.5,5.0,5.5,4.5,1.5,10,2.0
61213020512.0,30.0,female,6.0,5.0,4.0,6.5,3.0,3,0.0
61213085029.0,53.0,male,7.0,7.0,6.5,6.0,2.0,8,0.0
61213090129.0,37.0,female,5.0,7.0,2.0,6.0,3.5,17,7.0
61213090355.0,24.0,female,6.5,4.5,2.5,4.5,1.0,14,1.0
61213092224.0,29.0,female,6.0,5.5,1.5,4.0,4.0,17,4.0
61213093051.0,25.0,female,5.5,6.5,5.0,7.0,4.0,16,9.0
61213093222.0,22.0,female,6.0,6.5,4.0,6.5,1.5,18,6.0
61213093525.0,23.0,female,5.0,6.0,3.0,1.5,5.5,17,4.0
61213093956.0,24.0,male,5.0,3.5,2.5,5.0,1.5,5,3.0
61213095427.0,59.0,male,5.0,6.0,4.0,5.5,1.5,17,7.0
61213103344.0,21.0,female,4.5,6.5,4.5,3.5,3.0,13,2.0
61213104229.0,25.0,male,6.0,5.0,6.0,6.0,2.0,16,13.0
61213105843.0,19.0,male,4.0,3.5,2.0,5.0,3.0,16,8.0
61213110352.0,23.0,female,5.0,7.0,7.0,3.0,5.5,10,2.0
61213113621.0,20.0,male,4.5,3.5,2.5,2.5,6.5,16,0.0
61213113659.0,26.0,male,6.0,5.5,3.5,5.0,4.0,16,2.0
61213115215.0,20.0,female,5.5,5.0,2.0,6.0,5.5,15,6.0
61213115311.0,29.0,female,5.0,3.5,6.5,5.5,2.5,17,2.0
61213120340.0,23.0,female,6.5,3.0,6.0,4.0,3.5,13,2.0
61213123629.0,20.0,male,6.5,5.5,1.5,3.0,3.5,17,5.0
61213135153.0,23.0,female,6.0,7.0,4.0,5.0,5.5,11,5.0
61213140006.0,22.0,female,6.0,5.5,7.0,4.5,3.0,17,0.0
61213141101.0,35.0,male,6.0,5.0,3.0,4.5,2.5,17,7.0
61213154023.0,20.0,male,6.5,7.0,5.0,6.0,2.5,3,1.0
61213172801.0,20.0,male,4.0,4.0,2.5,5.0,2.0,15,2.0
61213180010.0,22.0,male,5.5,3.0,2.0,3.5,6.0,13,8.0
61213181033.0,21.0,female,4.5,5.5,6.0,4.0,6.0,18,3.0
61213185406.0,21.0,female,4.5,4.5,3.5,4.5,5.5,15,5.0
61213201441.0,21.0,female,5.0,7.0,2.5,2.0,5.5,18,3.0
